corpus 021821537f28 · engine 2026.09.01.platinum-group-rate-inverse · anchor 2026-08-26 · variant baseline
folds read: fit, select · confirm: SEALED, not read (2141527 rows withheld at the door)
rows 6634732: 346226 decomposed · 857954 not accepted · 0 in other folds · 3118950 other variants · 75920 unfilled · 442 data-absent · 93713 held out
holdout: stratified-per-class-20pct — 20 markets excluded from every class pool (pinned docs/research/r4/holdout-2026-08-26.json); stamped flag: 19 markets, provenance only

wins = take_profit + tp1_partial; stops = stop_loss; rest = expiries and ambiguous, held fixed when the break-even is solved. payoff = mean win / |mean stop|, realised. break-even = the win share at which expectancy is zero at that payoff and that rest.

=== FIT ===
| class | filled | net R | gross R | E (net) | mean win | mean stop | payoff | win share | break-even | rest share | rest mean | planned RR | ladder RR |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| agriculture | 2512 | -353.0 | -40.3 | -0.1405 | 0.458 | -1.073 | 0.427 | 52.7% | 61.9% | 14.6% | -0.217 | 1.60 | 0.86 |
| futures | expired_at_loss | 431 | 8.6% | -0.3485 | -0.2550 | 0.0000 |
| futures | take_profit | 240 | 4.8% | 1.4697 | 1.4120 | 0.1843 |
| futures | expired_in_profit | 137 | 2.7% | 0.1394 | 0.1839 | 0.0000 |
| futures | ambiguous | 24 | 0.5% | -0.7259 | -0.5319 | 0.2269 |
| indices | tp1_partial | 305 | 49.8% | 0.2951 | 0.3007 | 0.2492 |
| indices | stop_loss | 184 | 30.0% | -1.0937 | -0.9763 | 0.0000 |
| indices | expired_at_loss | 63 | 10.3% | -0.4033 | -0.3634 | 0.0000 |
| indices | take_profit | 33 | 5.4% | 1.1203 | 1.0717 | 0.1827 |
| indices | expired_in_profit | 28 | 4.6% | 0.1745 | 0.2052 | 0.0000 |
| livestock | stop_loss | 75 | 44.1% | -0.8733 | -0.7285 | 0.0000 |
| livestock | tp1_partial | 62 | 36.5% | 0.2892 | 0.2972 | 0.5051 |
| livestock | take_profit | 31 | 18.2% | 1.5564 | 1.5244 | 0.1707 |
| livestock | ambiguous | 1 | 0.6% | -1.0123 | -1.0123 | 0.0000 |
| livestock | expired_at_loss | 1 | 0.6% | -0.1483 | 0.2089 | 0.0000 |
| metals | tp1_partial | 1472 | 58.7% | 0.3894 | 0.4006 | 0.1114 |
| metals | stop_loss | 702 | 28.0% | -1.0024 | -0.8025 | 0.0000 |
| metals | expired_at_loss | 206 | 8.2% | -0.3339 | -0.2535 | 0.0000 |
| metals | take_profit | 66 | 2.6% | 1.1719 | 1.0081 | 0.2302 |
| metals | expired_in_profit | 57 | 2.3% | 0.1367 | 0.2061 | 0.0000 |
| metals | ambiguous | 4 | 0.2% | -1.0473 | -0.6822 | 0.0000 |
| **pooled** | tp1_partial | 82375 | 62.5% | 0.3519 | 0.3580 | 0.1298 |
| **pooled** | stop_loss | 36141 | 27.4% | -1.0467 | -0.8614 | 0.0000 |
| **pooled** | expired_at_loss | 6471 | 4.9% | -0.3380 | -0.2650 | 0.0000 |
| **pooled** | take_profit | 4575 | 3.5% | 1.1658 | 1.0678 | 0.1943 |
| **pooled** | expired_in_profit | 2032 | 1.5% | 0.1295 | 0.1666 | 0.0000 |
| **pooled** | ambiguous | 294 | 0.2% | -0.8289 | -0.5919 | 0.1568 |
