npm notice run levelflow-cloud@0.1.0 npx
npm notice run 'tsx' scripts/grid-totalr.ts sweeps/4c/shard-0.jsonl sweeps/4c/shard-1.jsonl sweeps/4c/shard-2.jsonl sweeps/4c/shard-3.jsonl sweeps/4c/shard-4.jsonl sweeps/4c/shard-5.jsonl sweeps/4c/shard-6.jsonl sweeps/4c/shard-7.jsonl --baseline confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=1 --permutations 1000 --seed 7
folds: fit=fit select=select (legacy two-split corpus) · holdout 3 markets excluded
corpus 3c47e2036e1b · engine 2026.08.11.engine-v2 · anchor 2026-08-11

=== CRYPTO ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=3      41.3     70.6    0.002    0.197    0.0   0.14      -8.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=1      65.3     92.1    0.002    0.213    0.0   0.14      -6.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=3      70.1     84.0    0.001    0.221    0.0   0.17      -8.4  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=1       4.5      9.6    0.741    0.021    0.0   0.08     -17.7  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=3       7.3      8.7    0.781    0.024    0.0   0.08     -17.7  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=1      13.2     54.1    0.009    0.146    0.0   0.10     -11.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=3      16.6     53.0    0.010    0.154    0.0   0.11     -11.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=1      34.3     60.0    0.013    0.162    0.0   0.13      -8.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=3      41.2     60.7    0.010    0.179    0.0   0.14      -8.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=1      70.3     85.5    0.004    0.200    0.0   0.14      -5.7  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=3      77.1     75.9    0.002    0.207    0.0   0.17      -7.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=1      10.0     10.3    0.072    0.022    0.0   0.08     -18.6  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=3      14.0      9.4    0.111    0.025    0.0   0.08     -18.6  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=1       5.4     65.2    0.001    0.168    0.0   0.10     -12.1  ACCEPT — fit+select, paired p, expectancy holds
